signal id,timestamp,symbol,timeframe,signal type,indicators triggered,entry price,outcome,evaluated at,executed
90cb85d9-74cc-4a5f-b8ad-89fa89b9003f,2025-07-08 15:17:03,USDCHF,M5,SELL,MACD Bearish,0.79585,,,no
0ba03c1b-67d5-4ab2-ab82-ab05bee706ac,2025-07-08 15:17:34,NZDUSD,M5,BUY,MACD Bullish,0.59978,,,no
755777b4-4f60-43a1-9974-a125cd9df379,2025-07-08 15:18:04,USDCHF,M5,SELL,MACD Bearish,0.79594,,,no
19c5f0ff-489e-4672-baf2-938c6cd83cee,2025-07-08 15:18:34,NZDUSD,M5,BUY,MACD Bullish,0.59975,,,no
bbbc2e6d-65be-4779-862e-dc6f7836c8d8,2025-07-08 15:19:05,USDCHF,M5,SELL,MACD Bearish,0.79597,,,no
217899ac-ac03-406d-848f-2947ba290cce,2025-07-08 15:19:35,NZDUSD,M5,BUY,MACD Bullish,0.59976,,,no
c65b859a-44ea-4b59-9509-dad7607e3fb3,2025-07-08 15:20:05,NZDCHF,M5,SELL,MACD Bearish,0.47724,,,no
9d54f419-af9a-4ec7-86cd-a9de48d50e8b,2025-07-08 15:20:05,CADJPY,M5,BUY,MACD Bullish,107.226,,,no
19c84247-e373-4727-ad84-765fdc476a1c,2025-07-08 15:21:06,NZDCHF,M5,SELL,MACD Bearish,0.47722,,,no
9156c1c8-caa1-4743-b97d-02be98421c9c,2025-07-08 15:21:06,CADJPY,M5,BUY,MACD Bullish,107.215,,,no
593cde51-c84a-4890-92a1-a69c13ee4568,2025-07-08 15:22:06,CADJPY,M5,BUY,MACD Bullish,107.22,,,no
7a3fceb5-b79a-4730-b742-b708fcb1b682,2025-07-08 15:22:06,XAGUSD,M5,BUY,MACD Bullish,36.722,,,no
d06d8aba-2194-4c3b-b158-bb6d475d4ed4,2025-07-08 15:23:07,CADJPY,M5,BUY,MACD Bullish,107.223,,,no
291f5b22-f35e-4bb2-bf58-3e3b6652f2a8,2025-07-08 15:23:07,XAGUSD,M5,BUY,MACD Bullish,36.723,,,no
97463f89-004d-43cb-8d88-8a2eb7605929,2025-07-08 15:24:07,NZDCHF,M5,SELL,MACD Bearish,0.47725,,,no
8fd86c18-ccdd-4424-b5b5-83389a439be2,2025-07-08 15:24:07,CADJPY,M5,BUY,MACD Bullish,107.234,,,no
48c3e1f2-afa1-45ef-9d30-3bb25c4be298,2025-07-08 15:24:07,XAGUSD,M5,BUY,MACD Bullish,36.735,,,no
2ca526c1-fd4e-48b7-9e4b-6e89f7646407,2025-07-08 15:30:00,NZDJPY,M5,BUY,MACD Bullish,87.911,,,no
21a866de-0916-4237-9cb2-f797881c7f56,2025-07-08 15:32:02,AUDNZD,M5,SELL,MACD Bearish,1.08888,,,no
026b2555-888c-4de1-8cbb-41df6fbb5d74,2025-07-08 15:34:43,AUDNZD,M5,SELL,MACD Bearish,1.08885,,,no
6ce65dcf-3358-4282-83dd-8a754bf83627,2025-07-08 15:35:03,NZDJPY,M5,BUY,MACD Bullish,87.908,,,no
e3ca2afb-fde8-4253-b8ff-97fdd369530d,2025-07-08 15:35:54,AUDJPY,M5,BUY,MACD Bullish,95.715,,,no
c773c819-21c0-4432-8eae-83ce4f65c4d7,2025-07-08 15:36:04,NZDJPY,M5,BUY,MACD Bullish,87.914,,,no
2933f0cb-f23b-45c0-8f3b-0eff4b98129d,2025-07-08 15:36:54,AUDJPY,M5,BUY,MACD Bullish,95.715,,,no
bbe84ff3-a1b6-4806-8aab-edf252278f70,2025-07-08 15:37:04,NZDJPY,M5,BUY,MACD Bullish,87.916,,,no
8d22bbc5-d79d-4a54-8de5-f947e905d9bb,2025-07-08 15:37:55,AUDJPY,M5,BUY,MACD Bullish,95.725,,,no
5f0d37f9-118d-43c7-886b-b9291db8731c,2025-07-08 15:38:05,NZDJPY,M5,BUY,MACD Bullish,87.924,,,no
5f10a5c9-0891-427f-9520-05d8b81a891e,2025-07-08 15:38:56,AUDJPY,M5,BUY,MACD Bullish,95.735,,,no
